This Week's Date,11/2,11/2,11/3,11/4,11/5,11/6,11/7,11/8,,,
3/2-3/8,,,,,,,,,,,
,Physical Health,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Cardio Work Outs x2 (1 HIIT workout),X,X,X,,X,,,,0,
,Strength Work Outs x2,,,,X,,,,1,1,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,,,,0,
,In bed by 11:15PM on weeknights,X,,X,X,X,X,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,1,X,X,X,X,,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,1,X,,1,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,X,,0,
,Read 1 chapter of a parenting book,X,,X,X,X,,,,0,
,Read 10 minutes every morning or evening,X,1,X,X,X,1,X,,2,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,X,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,,X,,0,
,"Buy dinner max, x1 per weekend",,,,,,X,,,0,
,Review expenses for 5 minutes at one point in the day,,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,X,X,X,X,X,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,X,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Collect all tax documents,,,,,,,,,0,
,,,,,,,,,1,1,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,9,
,,,,,,,,,,,
3/9-3/15,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,,,,2,2,
,Strength Work Outs x2,X,,,,X,,,,0,
,Core Work Out x1 (Can be cardio focused core),X,X,X,X,X,1,1,,2,
,No Zyns,X,,,,,,,,0,
,In bed by 11:15PM on weeknights,1,,1,X,X,0,,,2,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,1,,X,X,1,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,1,1,,2,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,X,,,,,,,0,
,Read 1 chapter of a parenting book,,X,X,X,X,X,X,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,X,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,X,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,X,,,,X,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,,X,X,X,X,X,,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,X,X,X,1,,,1,
,Do 4 pomadoro time blocks each day,,1,,,,,,,1,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,X,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Collect all tax documents,,,,,,,,1,1,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,18,
,,,,,,,,,,,
3/16-3/22,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),X,,,X,,X,,,0,
,Strength Work Outs x2,,X,X,,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,1,,,1,
,In bed by 11:15PM on weeknights,X,X,,X,X,X,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,X,1,X,1,,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,X,X,,0,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,X,,1,1,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,X,X,X,X,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,X,,0,
,"Buy dinner max, x1 per weekend",,,,,,X,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,1,1,,,2,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,X,,,,X,,,0,
,Do 4 pomadoro time blocks each day,,,X,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Collect all tax documents,,,,,,,,1,1,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,8,
,,,,,,,,,,,
3/23-3/30,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),X,,,,,,,1,1,
,Strength Work Outs x2,,,,X,,,,1,1,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,X,,,,,,,2,2,
,In bed by 11:15PM on weeknights,X,,,,,,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,X,1,,,,,,1,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,1,1,,2,
,Gratitude Journal x7,X,X,X,X,X,,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,X,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,,,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,,,,,,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,,,2,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,X,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Collect all tax documents,,,,,,,,,0,
,,,,,,,,,1,1,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,15,
,,,,,,,,,,,
3/30 - 4/5,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,X,,,,,X,,0,
,Strength Work Outs x2,,,,,,X,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,,,,1,,,,,1,
,In bed by 11:15PM on weeknights,1,X,,X,,,,,1,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,X,X,X,1,1,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,X,X,1,X,X,X,,2,
,Gratitude Journal x7,,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,X,1,1,
,Read 50 pages of non-fiction,,X,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,1,X,X,X,,1,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,,X,X,1,X,X,X,,1,
,,,,,,,,,,,
,Budgeting,,,,,X,,,,0,
,"Buy breakfast, x1 per week",,,,X,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,X,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",X,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,1,X,X,X,X,,,1,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,X,X,,,0,
,Do 4 pomadoro time blocks each day,,X,X,X,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,X,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Collect all tax documents,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,11,
,,,,,,,,,,,
4/6 - 4/12,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,X,,,,,,1,1,
,Strength Work Outs x2,,,X,X,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,X,,,,,,,0,
,No Zyns,,X,X,,,,,,0,
,In bed by 11:15PM on weeknights,X,X,X,X,,,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,,1,1,,,,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,1,1,,2,
,Gratitude Journal x7,X,X,X,X,X,,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,1,X,X,X,,,2,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,X,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,,,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,X,,,,,,,0,
,Do 4 pomadoro time blocks each day,,,X,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,X,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,Collect all tax documents,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,11,
,,,,,,,,,,,
4/13 - 4/19,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,,X,,,0,
,Strength Work Outs x2,,,X,X,X,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,X,X,X,X,1,1,,2,
,In bed by 11:15PM on weeknights,,X,X,X,X,,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,X,X,X,X,1,,,1,
,"Max 1 drinking per weeknight, 3 drink max",,X,,1,X,,,,1,
,Max 10 drinks per weekend ,,,,,,,1,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,X,X,X,1,1,1,,4,
,Gratitude Journal x7,,X,X,X,X,,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,,,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,,,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,1,X,X,X,X,,,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,X,X,1,,,,1,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,X,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,X,X,X,X,X,,0,
,"Time block each day, intent to better plan day",,,X,X,X,,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,X,,X,,X,,0,
,Do 4 pomadoro time blocks each day,,,,X,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,X,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,1,,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,14,
,,,,,,,,,,,
4/20 - 4/26,,,,,,,,,,,
,Physical Health,,,,X,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,X,,X,,,,0,
,Strength Work Outs x2,,X,,,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,1,,,,,,1,,2,
,In bed by 11:15PM on weeknights,,,1,,,,,,1,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,1,1,1,X,1,,,4,
,"Max 1 drinking per weeknight, 3 drink max",,,X,1,,,,,1,
,Max 10 drinks per weekend ,,,,,,,1,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,,X,X,1,1,1,,4,
,Gratitude Journal x7,X,X,X,X,X,X,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,1,,,,,X,,1,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,X,X,,,,0,
,"Buy dinner max, x2 per weekdays",,,X,X,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,X,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,1,,,,,,,1,
,"Time block each day, intent to better plan day",,X,,,,,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,X,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,1,,1,
,Read 10 pages of cook book each week,,,,,,,1,,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,17,
4/27 - 5/3,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,,X,,,0,
,Strength Work Outs x2,,,X,X,X,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,,,,,,,,,0,
,In bed by 11:15PM on weeknights,1,X,,,X,X,,,1,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,X,1,,X,X,,,1,
,"Max 1 drinking per weeknight, 3 drink max",,X,,,,,,,0,
,Max 10 drinks per weekend ,,,,,,,1,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,1,X,X,X,1,1,,4,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,1,1,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,1,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,X,,,0,
,"Buy lunch max, x2 per weekdays",,,X,,,,,,0,
,"Buy dinner max, x2 per weekdays",,X,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,X,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,1,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,,X,X,X,X,X,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,X,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,12,
,,,,,,,,,,,
5/4 - 5/10,,,,,,,,,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,,,,X,,,1,1,
,Strength Work Outs x2,,,X,X,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,,,,,,,1,,1,
,In bed by 11:15PM on weeknights,X,,X,X,,,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,X,1,1,X,X,,,2,
,"Max 1 drinking per weeknight, 3 drink max",,X,,,,,,,0,
,Max 10 drinks per weekend ,,,,,,,,1,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,X,X,X,X,1,1,,3,
,Gratitude Journal x7,X,X,X,X,X,,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 25 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,,,X,,,0,
,"Buy dinner max, x2 per weekdays",,,,,X,,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,1,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,X,X,X,1,,,1,
,"Time block each day, intent to better plan day",,,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,X,,,,,,0,
,Do 4 pomadoro time blocks each day,,,,X,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,,,,,,,,1,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Keep strike count under 10,,,,,,,,,0,
,No drinking Tuesday-Thursday,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,14,
5/11 - 5/17,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2 (1 HIIT workout),,X,,,,,,1,1,
,Strength Work Outs x2,,,,,X,,,1,1,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,,,,,,1,,,1,
,In bed by 11:15PM on weeknights,X,X,X,X,,,,,0,
,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,,1,X,X,X,1,,,2,
,"Max 1 drinking per weeknight, 3 drink max",,,X,,,,,1,1,
,Max 10 drinks per weekend ,,,,,,,,,0,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,X,X,X,X,,,2,3,
,Gratitude Journal x7,X,X,X,X,X,,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,2,2,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,1,,X,X,,1,
,Max 25 minutes of Instagram per day,,,,,,,,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,X,,,,,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,X,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
